country1	gas_consumption	country	crude_oil_consumption	country	coal_consumption
United States	0.23	United States	0.22	China	0.5
Russia	0.14	China	0.15	India	0.13
China	0.07	Russia	0.07	United States	0.09
Iran	0.06	India	0.07	Russia	0.03
Canada	0.04	Japan	0.04	Germany	0.03
Japan	0.04	South Korea	0.04	Japan	0.03
Saudi Arabia	0.03	Saudi Arabia	0.04	South Africa	0.03
Germany	0.03	Canada	0.03	South Korea	0.02
United Kingdom	0.02	Germany	0.03	Turkey	0.02
other	0.34	other	0.31	other	0.12
