Unnamed: 0,ID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,YEAR,POPULATION,COUNT,LAT,LON,AGE_ADJUSTED_RATE_inc,AGE_ADJUSTED_RATE_mort
45,45,1,1779775,0400000US01,1,AL,Alabama,0,131000000000.0,4593686489.0,2015.0,4853875.0,10354.0,32.806671,-86.79113000000002,453.6166666666666,183.01666666666668
7,7,2,1785533,0400000US02,2,AK,Alaska,0,1480000000000.0,245000000000.0,2015.0,737709.0,978.0,61.370716,-152.404419,422.8833333333334,170.41666666666666
2,2,4,1779777,0400000US04,4,AZ,Arizona,0,294000000000.0,1027346486.0,2015.0,6817565.0,11776.0,33.729759,-111.431221,391.55,146.58333333333334
3,3,5,68085,0400000US05,5,AR,Arkansas,0,135000000000.0,2960191698.0,2015.0,2977853.0,6727.0,34.969704,-92.373123,459.45,188.61666666666665
8,8,6,1779778,0400000US06,6,CA,California,0,404000000000.0,20466718403.0,2015.0,38993940.0,59629.0,36.11620300000001,-119.681564,416.23333333333335,148.98333333333335
38,38,8,1779779,0400000US08,8,CO,Colorado,0,268000000000.0,1175112870.0,2015.0,5448819.0,7604.0,39.059811,-105.311104,409.48333333333335,141.28333333333333
40,40,9,1779780,0400000US09,9,CT,Connecticut,0,12542638347.0,1815476291.0,2015.0,3584730.0,6666.0,41.597782,-72.755371,483.43333333333334,152.21666666666667
4,4,10,1779781,0400000US10,10,DE,Delaware,0,5047194742.0,1398720828.0,2015.0,944076.0,2010.0,39.318523,-75.507141,504.01666666666665,173.41666666666666
9,9,11,1702382,0400000US11,11,DC,District of Columbia,0,158364992.0,18633403.0,2015.0,670377.0,1072.0,38.897438,-77.02681700000002,467.5833333333333,177.0666666666667
10,10,12,294478,0400000US12,12,FL,Florida,0,139000000000.0,31386038155.0,2015.0,20244914.0,44027.0,27.766279,-81.68678299999998,435.54999999999995,156.46666666666667
5,5,13,1705317,0400000US13,13,GA,Georgia,0,149000000000.0,4741100880.0,2015.0,10199398.0,16945.0,33.040619,-83.643074,463.93333333333334,168.76666666666668
1,1,15,1779782,0400000US15,15,HI,Hawaii,0,16634100855.0,11777698394.0,2015.0,1425157.0,2462.0,21.094318,-157.49833700000005,417.6666666666667,136.85
11,11,16,1779783,0400000US16,16,ID,Idaho,0,214000000000.0,2398669593.0,2015.0,1652828.0,2849.0,44.240459,-114.478828,443.73333333333335,155.71666666666667
12,12,17,1779784,0400000US17,17,IL,Illinois,0,144000000000.0,6206693598.0,2015.0,12839047.0,24713.0,40.349457,-88.986137,472.4166666666667,172.88333333333335
