YEAR,POPULATION,COUNT,AGE_ADJUSTED_RATE,AREA
2000,16047515,103496.0,520.2,Florida
2001,16356966,105242.0,520.0,Florida
2002,16689370,104335.0,505.4,Florida
2003,17004085,103400.0,491.1,Florida
2004,17415318,103596.0,480.5,Florida
2005,17842038,106964.0,484.2,Florida
2006,18166990,107863.0,480.0,Florida
2007,18367842,110376.0,482.1,Florida
2008,18527305,112752.0,482.5,Florida
2009,18652644,112335.0,471.6,Florida
2010,18849098,111914.0,459.6,Florida
2011,19096952,113360.0,455.0,Florida
2012,19344156,112893.0,441.2,Florida
2013,19582022,112823.0,430.3,Florida
2014,19888741,113512.0,422.1,Florida
2015,20244914,111972.0,405.1,Florida
1999,8045965,30343.0,446.0,Georgia
2000,8227303,32969.0,472.9,Georgia
2001,8377038,34501.0,483.5,Georgia
2002,8508256,35625.0,486.0,Georgia
2003,8622793,35776.0,476.4,Georgia
2004,8769252,36824.0,477.8,Georgia
2005,8925922,37507.0,470.4,Georgia
2006,9155813,39342.0,474.9,Georgia
2007,9349988,42164.0,492.1,Georgia
2008,9504843,43124.0,487.1,Georgia
2009,9620846,43878.0,482.5,Georgia
2010,9713521,43337.0,461.9,Georgia
2011,9811610,45214.0,471.3,Georgia
2012,9914668,46533.0,468.9,Georgia
2013,9984938,46942.0,459.9,Georgia
2014,10087231,48668.0,463.0,Georgia
2015,10199398,49553.0,458.6,Georgia
1999,1210300,5372.0,436.4,Hawaii
2000,1213519,5260.0,418.5,Hawaii
2001,1225948,5590.0,434.5,Hawaii
2002,1239613,5618.0,426.4,Hawaii
2003,1251154,5747.0,426.6,Hawaii
2004,1273569,6035.0,436.8,Hawaii
2005,1292729,6120.0,431.3,Hawaii
2006,1309731,6205.0,428.0,Hawaii
2007,1315675,6417.0,434.9,Hawaii
2008,1332213,6652.0,439.6,Hawaii
2009,1346717,6788.0,439.9,Hawaii
2010,1363945,6741.0,426.4,Hawaii
2011,1377864,6808.0,422.4,Hawaii
2012,1391820,6865.0,417.4,Hawaii
2013,1406481,7097.0,423.5,Hawaii
2014,1416349,6967.0,407.8,Hawaii
2015,1425157,7131.0,408.5,Hawaii
1999,1275674,5210.0,445.6,Idaho
2000,1299430,5674.0,475.1,Idaho
2001,1319962,5752.0,470.1,Idaho
2002,1340372,5965.0,474.8,Idaho
2003,1363380,6013.0,465.4,Idaho
2004,1391802,6181.0,463.9,Idaho
2005,1428241,6579.0,478.4,Idaho
2006,1468669,6780.0,474.0,Idaho
2007,1505105,7184.0,485.2,Idaho
2008,1534320,7161.0,468.2,Idaho
2009,1554439,7382.0,468.5,Idaho
2010,1571010,7460.0,459.8,Idaho
2011,1584143,7584.0,456.5,Idaho
2012,1595911,7587.0,445.2,Idaho
2013,1612011,7484.0,427.2,Idaho
2014,1633532,7887.0,435.8,Idaho
2015,1652828,8132.0,437.9,Idaho
1999,12359020,58861.0,494.8,Illinois
2000,12434161,59177.0,493.4,Illinois
2001,12488445,60917.0,503.7,Illinois
2002,12525556,62353.0,510.6,Illinois
2003,12556006,60988.0,493.3,Illinois
2004,12589773,61602.0,493.5,Illinois
2005,12609903,61987.0,490.7,Illinois
2006,12643955,63881.0,500.9,Illinois
2007,12695866,65077.0,502.6,Illinois
2008,12747038,66480.0,504.9,Illinois
2009,12796778,66791.0,499.6,Illinois
2010,12841578,65504.0,482.1,Illinois
2011,12860012,66847.0,484.3,Illinois
2012,12870798,65763.0,468.6,Illinois
2013,12879505,66228.0,464.4,Illinois
2014,12867544,67635.0,467.1,Illinois
2015,12839047,68549.0,468.0,Illinois
1999,6044969,27434.0,460.9,Indiana
2000,6091866,28620.0,475.8,Indiana
2001,6127760,29922.0,492.5,Indiana
2002,6155967,30260.0,492.0,Indiana
2003,6196638,30329.0,485.4,Indiana
2004,6233007,30192.0,477.0,Indiana
2005,6278616,30716.0,478.2,Indiana
2006,6332669,31769.0,486.3,Indiana
2007,6379599,32102.0,482.7,Indiana
2008,6424806,32516.0,478.8,Indiana
2009,6459325,32549.0,471.3,Indiana
2010,6490528,32846.0,467.8,Indiana
2011,6516480,33102.0,463.7,Indiana
2012,6537743,32995.0,455.1,Indiana
2013,6569102,33323.0,452.2,Indiana
2014,6595233,33862.0,452.7,Indiana
2015,6612768,33977.0,447.4,Indiana
1999,2917634,15809.0,489.1,Iowa
2000,2929067,15755.0,485.4,Iowa
2001,2931997,16223.0,495.9,Iowa
2002,2934234,16343.0,497.3,Iowa
2003,2941999,16059.0,485.3,Iowa
2004,2953635,16264.0,485.6,Iowa
2005,2964454,16473.0,488.1,Iowa
2006,2982644,16771.0,491.1,Iowa
2007,2999212,16879.0,488.4,Iowa
2008,3016734,16961.0,485.6,Iowa
2009,3032870,17638.0,498.2,Iowa
2010,3050738,17582.0,491.0,Iowa
2011,3065223,17601.0,486.1,Iowa
2012,3076310,17285.0,471.0,Iowa
2013,3091930,17278.0,466.0,Iowa
2014,3108030,17930.0,479.2,Iowa
2015,3121997,17878.0,470.2,Iowa
1999,2678338,12666.0,468.1,Kansas
2000,2693681,12734.0,467.6,Kansas
2001,2702162,12729.0,463.9,Kansas
2002,2713535,12818.0,462.3,Kansas
2003,2723004,13161.0,469.9,Kansas
2004,2734373,13335.0,471.1,Kansas
2005,2745299,13356.0,466.7,Kansas
2006,2762931,13669.0,471.3,Kansas
2007,2783785,14296.0,485.7,Kansas
2008,2808076,14525.0,486.0,Kansas
2009,2832704,14386.0,472.6,Kansas
2010,2858850,14433.0,468.4,Kansas
2011,2869503,15087.0,483.1,Kansas
2012,2885262,15016.0,472.7,Kansas
2013,2892821,14913.0,461.4,Kansas
2014,2899360,14781.0,452.6,Kansas
2015,2906721,15014.0,452.9,Kansas
1999,4018053,20864.0,519.0,Kentucky
2000,4049021,21351.0,523.0,Kentucky
2001,4068132,21888.0,531.2,Kentucky
2002,4089875,21886.0,523.9,Kentucky
2003,4117170,22000.0,518.1,Kentucky
2004,4146101,22498.0,521.9,Kentucky
2005,4182742,22783.0,518.3,Kentucky
2006,4219239,23968.0,534.0,Kentucky
2007,4256672,24552.0,535.7,Kentucky
2008,4289878,24727.0,529.0,Kentucky
2009,4317074,24948.0,523.9,Kentucky
2010,4348662,25527.0,527.4,Kentucky
2011,4369354,25764.0,523.6,Kentucky
2012,4384799,26343.0,525.0,Kentucky
2013,4400477,26484.0,520.5,Kentucky
2014,4413057,26982.0,521.8,Kentucky
2015,4424611,26920.0,512.0,Kentucky
1999,4460811,20438.0,493.1,Louisiana
2000,4471885,20736.0,493.9,Louisiana
2001,4477875,21427.0,504.9,Louisiana
2002,4497267,21570.0,500.6,Louisiana
2003,4521042,21628.0,494.1,Louisiana
2004,4552238,22093.0,497.5,Louisiana
2005,4411396,21095.0,481.5,Louisiana
2006,4302665,21605.0,494.5,Louisiana
2007,4375581,22478.0,502.2,Louisiana
2008,4435586,22965.0,501.6,Louisiana
2009,4491648,23656.0,504.1,Louisiana
2010,4544996,23745.0,497.1,Louisiana
2011,4575404,24259.0,496.9,Louisiana
2012,4603429,24300.0,488.2,Louisiana
2013,4626402,24371.0,480.6,Louisiana
2014,4647880,24800.0,480.5,Louisiana
2015,4668960,25165.0,477.5,Louisiana
1999,1266808,7167.0,510.8,Maine
2000,1277072,7595.0,531.6,Maine
2001,1285692,7861.0,542.0,Maine
2002,1295960,7903.0,535.3,Maine
2003,1306513,7943.0,529.1,Maine
2004,1313688,8349.0,544.8,Maine
2005,1318787,8321.0,535.1,Maine
2006,1323619,8636.0,545.2,Maine
2007,1327040,8558.0,528.8,Maine
2008,1330509,8482.0,513.4,Maine
2009,1329590,8373.0,500.0,Maine
2010,1327730,8402.0,494.4,Maine
2011,1328231,8364.0,485.7,Maine
2012,1328895,8531.0,481.5,Maine
2013,1329076,8451.0,468.7,Maine
2014,1330719,8767.0,478.0,Maine
2015,1329453,8692.0,468.0,Maine
1999,5254509,24807.0,498.8,Maryland
2000,5311034,25109.0,494.9,Maryland
2001,5374691,24614.0,476.1,Maryland
2002,5440389,26464.0,500.6,Maryland
2003,5496269,27228.0,504.4,Maryland
2004,5546935,25539.0,464.8,Maryland
2005,5592379,25938.0,464.5,Maryland
2006,5627367,26069.0,459.2,Maryland
2007,5653408,27983.0,483.6,Maryland
2008,5684965,28540.0,483.8,Maryland
2009,5730388,28581.0,471.1,Maryland
2010,5788584,28951.0,469.2,Maryland
2011,5843603,29085.0,459.3,Maryland
2012,5889651,29060.0,449.1,Maryland
2013,5931129,30412.0,460.3,Maryland
2014,5967295,30299.0,448.0,Maryland
2015,5994983,30924.0,448.7,Maryland
1999,6317345,33916.0,515.5,Massachusetts
2000,6361104,34463.0,518.3,Massachusetts
2001,6397634,35241.0,526.1,Massachusetts
2002,6417206,35915.0,530.1,Massachusetts
2003,6422565,35097.0,513.2,Massachusetts
2004,6412281,35451.0,514.2,Massachusetts
2005,6403290,35909.0,516.9,Massachusetts
2006,6410084,37105.0,529.8,Massachusetts
2007,6431559,37203.0,523.4,Massachusetts
2008,6468967,37741.0,522.0,Massachusetts
2009,6517613,37579.0,510.9,Massachusetts
2010,6565524,35715.0,477.9,Massachusetts
2011,6611923,37219.0,489.6,Massachusetts
2012,6658008,36544.0,472.6,Massachusetts
2013,6706786,36269.0,459.8,Massachusetts
2014,6749911,36682.0,457.9,Massachusetts
2015,6784240,36933.0,452.8,Massachusetts
1999,9897116,50692.0,523.4,Michigan
2000,9952450,51225.0,522.3,Michigan
2001,9991120,51818.0,522.5,Michigan
2002,10015710,52760.0,524.7,Michigan
2003,10041152,53118.0,520.8,Michigan
2004,10055315,52150.0,504.4,Michigan
2005,10051137,52866.0,505.0,Michigan
2006,10036081,53591.0,505.0,Michigan
2007,10001284,55911.0,517.8,Michigan
2008,9946889,53706.0,490.9,Michigan
2009,9901591,54187.0,487.4,Michigan
2010,9877495,55389.0,491.1,Michigan
2011,9876213,56041.0,488.8,Michigan
2012,9887238,54158.0,464.6,Michigan
2013,9898982,53605.0,453.3,Michigan
2014,9915767,53694.0,446.5,Michigan
2015,9917715,53199.0,435.8,Michigan
1999,4873481,21926.0,467.5,Minnesota
2000,4933692,22825.0,479.4,Minnesota
2001,4982796,23694.0,490.9,Minnesota
2002,5018935,23871.0,485.6,Minnesota
2003,5053572,23737.0,474.1,Minnesota
2004,5087713,24533.0,481.8,Minnesota
2005,5119598,24651.0,476.3,Minnesota
2006,5163555,25555.0,484.2,Minnesota
2007,5207203,26862.0,497.6,Minnesota
2008,5247018,27070.0,489.9,Minnesota
2009,5281203,27020.0,478.9,Minnesota
2010,5311147,27277.0,475.7,Minnesota
2011,5348562,28151.0,479.9,Minnesota
2012,5380285,27966.0,465.2,Minnesota
2013,5418521,28032.0,456.7,Minnesota
2014,5453109,28573.0,455.6,Minnesota
2015,5482435,30277.0,475.0,Minnesota
2003,2868312,13230.0,465.9,Mississippi
2004,2889010,13545.0,469.4,Mississippi
2005,2876229,13695.0,470.3,Mississippi
2006,2904978,14282.0,481.0,Mississippi
2007,2928350,15037.0,496.1,Mississippi
2008,2947806,15357.0,499.3,Mississippi
2009,2958774,15087.0,483.9,Mississippi
2010,2970322,15510.0,487.5,Mississippi
2011,2978162,15453.0,477.3,Mississippi
2012,2984945,15468.0,469.1,Mississippi
2013,2990482,15724.0,467.7,Mississippi
2014,2992400,15953.0,467.9,Mississippi
2015,2989390,15781.0,456.7,Mississippi
1999,5561948,27712.0,478.4,Missouri
2000,5607285,27506.0,469.8,Missouri
2001,5641142,28319.0,478.6,Missouri
2002,5674825,28652.0,478.3,Missouri
2003,5709403,28906.0,476.1,Missouri
2004,5747741,28933.0,470.9,Missouri
2005,5790300,30674.0,491.7,Missouri
2006,5842704,30887.0,486.5,Missouri
2007,5887612,31219.0,483.3,Missouri
2008,5923916,31180.0,473.8,Missouri
2009,5961088,32266.0,481.9,Missouri
2010,5996118,31555.0,463.6,Missouri
2011,6010717,32570.0,471.6,Missouri
2012,6025415,32620.0,464.4,Missouri
2013,6042711,32206.0,451.2,Missouri
2014,6060930,32940.0,454.2,Missouri
2015,6076204,32952.0,449.4,Missouri
1999,897507,4590.0,486.7,Montana
2000,903773,4785.0,498.5,Montana
2001,906961,4997.0,511.7,Montana
2002,911667,5003.0,504.5,Montana
2003,919630,4983.0,492.7,Montana
2004,930009,4925.0,474.7,Montana
2005,940102,5234.0,493.1,Montana
2006,952692,5206.0,479.4,Montana
2007,964706,5370.0,477.4,Montana
2008,976415,5405.0,470.6,Montana
2009,983982,5636.0,479.0,Montana
2010,990641,5651.0,474.2,Montana
2011,997821,5755.0,471.1,Montana
2012,1005196,5562.0,445.6,Montana
2013,1014314,5694.0,444.1,Montana
2014,1022867,5718.0,438.3,Montana
2015,1032073,5918.0,443.9,Montana
1999,1704764,8534.0,485.2,Nebraska
2000,1713820,8585.0,485.3,Nebraska
2001,1719836,8672.0,485.4,Nebraska
2002,1728292,8809.0,489.3,Nebraska
2003,1738643,8640.0,475.4,Nebraska
2004,1749370,8826.0,480.4,Nebraska
2005,1761497,9035.0,485.2,Nebraska
2006,1772693,9205.0,487.6,Nebraska
2007,1783440,9517.0,496.9,Nebraska
2008,1796378,9422.0,484.0,Nebraska
2009,1812683,9037.0,457.9,Nebraska
2010,1830051,9385.0,467.3,Nebraska
2011,1842283,9420.0,464.0,Nebraska
2012,1855725,9263.0,447.2,Nebraska
2013,1868559,9503.0,453.2,Nebraska
2014,1881145,9562.0,447.3,Nebraska
2015,1893765,9854.0,456.1,Nebraska
1999,1934718,7565.0,419.0,Nevada
2000,2018741,9608.0,511.9,Nevada
2001,2098399,9870.0,500.9,Nevada
2002,2173791,10287.0,499.2,Nevada
2003,2248850,10315.0,477.2,Nevada
2004,2346222,10787.0,477.3,Nevada
2005,2432143,10638.0,450.6,Nevada
2006,2522658,11306.0,465.5,Nevada
2007,2601072,11222.0,443.1,Nevada
2008,2653630,11956.0,457.6,Nevada
2009,2684665,12367.0,460.1,Nevada
2010,2703284,11852.0,430.5,Nevada
2011,2718379,12211.0,430.8,Nevada
2012,2752565,11912.0,403.8,Nevada
2013,2786464,12227.0,402.1,Nevada
2014,2833013,12057.0,381.5,Nevada
2015,2883758,11431.0,348.8,Nevada
1999,1222014,5865.0,489.4,New Hampshire
2000,1239882,6215.0,506.8,New Hampshire
2001,1255517,6515.0,521.5,New Hampshire
2002,1269089,6864.0,537.9,New Hampshire
2003,1279840,6756.0,517.6,New Hampshire
2004,1290121,7008.0,524.3,New Hampshire
2005,1298492,7247.0,531.6,New Hampshire
2006,1308389,7295.0,520.4,New Hampshire
2007,1312540,7459.0,518.6,New Hampshire
2008,1315906,7739.0,526.2,New Hampshire
2009,1316102,7707.0,512.3,New Hampshire
2010,1316872,7799.0,505.5,New Hampshire
2011,1318473,8076.0,516.9,New Hampshire
2012,1321182,7855.0,491.5,New Hampshire
2013,1322687,8093.0,492.1,New Hampshire
2014,1328743,8030.0,476.1,New Hampshire
2015,1330111,7978.0,466.4,New Hampshire
1999,8359592,45011.0,519.3,New Jersey
2000,8430621,46100.0,525.8,New Jersey
2001,8492671,48372.0,546.6,New Jersey
2002,8552643,48027.0,535.9,New Jersey
2003,8601402,46356.0,511.4,New Jersey
2004,8634561,46689.0,510.4,New Jersey
2005,8651974,47109.0,510.9,New Jersey
2006,8661679,48735.0,523.6,New Jersey
2007,8677885,49373.0,523.6,New Jersey
2008,8711090,49296.0,515.1,New Jersey
2009,8755602,49804.0,512.8,New Jersey
2010,8803729,49255.0,498.9,New Jersey
2011,8841243,50146.0,501.7,New Jersey
2012,8873211,49720.0,489.0,New Jersey
2013,8899162,50589.0,489.9,New Jersey
2014,8925001,50245.0,479.1,New Jersey
2015,8935421,51099.0,479.5,New Jersey
1999,1808082,7298.0,431.4,New Mexico
2000,1821204,7273.0,419.9,New Mexico
2001,1831690,7674.0,432.8,New Mexico
2002,1855309,7889.0,434.1,New Mexico
2003,1877574,7842.0,420.5,New Mexico
2004,1903808,8261.0,431.6,New Mexico
2005,1932274,8286.0,421.0,New Mexico
2006,1962137,8501.0,417.2,New Mexico
2007,1990070,8800.0,420.2,New Mexico
2008,2010662,9019.0,420.4,New Mexico
2009,2036802,9078.0,412.0,New Mexico
2010,2064756,9049.0,398.9,New Mexico
2011,2077756,8914.0,384.2,New Mexico
2012,2083784,8894.0,378.0,New Mexico
2013,2085193,8977.0,374.4,New Mexico
2014,2083024,9150.0,375.7,New Mexico
2015,2080328,9091.0,366.2,New Mexico
1999,18882725,94391.0,494.1,New York
2000,19001780,97140.0,501.6,New York
2001,19082838,98099.0,501.4,New York
2002,19137800,99308.0,501.5,New York
2003,19175939,99454.0,497.0,New York
2004,19171567,100399.0,497.1,New York
2005,19132610,101845.0,500.5,New York
2006,19104631,104806.0,511.9,New York
2007,19132335,106636.0,514.3,New York
2008,19212436,108367.0,515.9,New York
2009,19307066,109038.0,511.6,New York
2010,19402640,106851.0,494.5,New York
2011,19519529,110766.0,504.3,New York
2012,19602769,107904.0,484.4,New York
2013,19673546,111352.0,492.9,New York
2014,19718515,110502.0,481.9,New York
2015,19747183,111951.0,482.0,New York
1999,7949361,34414.0,442.0,North Carolina
2000,8081614,36409.0,458.7,North Carolina
2001,8210122,37344.0,462.1,North Carolina
2002,8326201,38085.0,459.6,North Carolina
2003,8422501,38853.0,457.5,North Carolina
2004,8553152,41627.0,479.3,North Carolina
2005,8705407,43904.0,491.7,North Carolina
2006,8917270,45177.0,488.5,North Carolina
2007,9118037,47064.0,492.1,North Carolina
2008,9309449,48105.0,487.8,North Carolina
