state,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,average,percentage
48_Arizona,    Information,5173,5315,5759,6513,6529,6854,6912,7252,7594,7701,7346,7032,6762,6824,7659,8149,9008,7476.272727,0.035671197
48_Arizona,"    Finance, insurance, real estate, rental, and leasing",31455,33807,36692,38427,41177,43253,50678,52401,54355,52702,50427,50894,51511,55666,58842,60701,65790,54906.09091,0.261970914
48_Arizona,    Professional and business services,14820,16807,17637,18127,19141,21112,23599,26462,28727,29765,27560,27201,28039,28938,30609,32097,33329,28756.90909,0.137206522
48_Arizona,"    Educational services, health care, and social assistance",9051,9705,10557,11644,12876,14350,15600,17467,19013,21050,22243,23021,23921,24720,25176,25971,27212,22308.54545,0.10643974
48_Arizona,"    Arts, entertainment, recreation, accommodation, and food services",6371,7130,7097,7551,8079,8999,10198,11003,11583,10860,10339,10396,10905,11793,12393,12386,13193,11368.09091,0.054240051
47_California,    Utilities,18143,18615,14977,20468,21320,21404,21498,25629,25976,24820,27045,27642,28630,25261,26871,27997,28493,26351.09091,0.015463634
47_California,    Construction,48176,54622,58828,60038,67162,81480,92638,97933,94630,77054,66547,62861,61294,67496,76361,82468,93330,79328.36364,0.046552333
47_California,    Manufacturing,179326,207353,179408,162677,177187,182960,208182,221404,231867,247815,229872,222698,219130,237379,250194,268660,282808,238182.6364,0.139772924
47_California,    Wholesale trade,71400,76602,76860,76808,80814,85801,94189,102919,109531,109695,99272,105669,115701,117866,124494,133455,142034,114075,0.066942731
47_California,    Retail trade,89499,96527,98723,103676,109956,117122,123381,128843,124810,115745,111263,115548,118123,124034,130568,135001,142682,124545.2727,0.073087011
47_California,    Transportation and warehousing,31146,33478,33361,33454,34490,38325,40070,45141,44410,44660,41730,44307,46401,47854,51054,54289,59239,47195.90909,0.027696016
47_California,    Information,87799,83757,90865,98311,101849,118256,116713,122677,131735,134669,129612,147839,150288,155634,174331,177540,206103,149740.0909,0.087872108
47_California,"    Finance, insurance, real estate, rental, and leasing",246178,263563,281050,306042,330869,352153,390624,410026,421384,412712,410940,416833,433027,454610,478325,515317,545258,444459.6364,0.260822635
47_California,    Professional and business services,149584,173262,171616,172656,177835,195486,206621,222017,239360,256758,239496,247736,263099,283533,277013,296826,319493,259268.3636,0.152146679
47_California,"    Educational services, health care, and social assistance",67126,71413,77035,85215,91353,98044,102283,109345,114944,125480,133336,139715,146969,154631,159612,166175,176797,139026.0909,0.081584802
47_California,"    Arts, entertainment, recreation, accommodation, and food services",47567,52692,53997,58749,63886,69115,70415,74948,76613,77372,73901,75360,79222,83586,87782,97339,104319,81896.09091,0.048059154
05_Arkansas,    Utilities,1887,1806,1848,1720,1777,1910,1999,2326,2297,2370,2479,2692,2747,2672,2866,2939,2972,2578.090909,0.031281892
05_Arkansas,    Construction,2841,3140,3265,3408,3488,3999,4393,4518,4512,4392,4291,4183,4204,4528,4147,4244,4521,4357.545455,0.052873337
05_Arkansas,    Manufacturing,14655,14541,13903,14770,15351,16722,17148,18029,16328,15503,13971,15045,15652,15241,16688,17560,18043,16291.63636,0.197678528
05_Arkansas,    Wholesale trade,4129,4362,4474,4661,4992,5648,6193,6654,6934,7243,6986,7442,7432,7815,8187,8483,8763,7466.545455,0.090597143
05_Arkansas,    Retail trade,4979,5027,5277,5541,5852,6102,6595,6785,6751,6854,6833,7151,7206,7575,7870,8259,8600,7316.272727,0.088773773
05_Arkansas,    Transportation and warehousing,3260,3331,3391,3571,3736,3962,4298,4541,4346,4406,3954,4186,4494,4769,4812,4999,5171,4543.272727,0.055126904
05_Arkansas,    Information,2605,2520,2754,2971,3322,3538,4217,3911,4898,4383,4469,4096,3962,3937,4260,3983,3843,4178.090909,0.050695881
05_Arkansas,"    Finance, insurance, real estate, rental, and leasing",8969,9436,9880,10468,10809,10752,11674,12126,13336,13684,14065,15012,16676,16221,16110,16835,17735,14861.27273,0.180322863
05_Arkansas,    Professional and business services,4529,5021,5430,5756,6199,6740,7205,7697,8072,8631,8622,9191,9568,10222,11007,11477,11888,9416.363636,0.114255736
05_Arkansas,"    Educational services, health care, and social assistance",4565,4824,5140,5515,5932,6336,6703,7120,7408,7942,8394,8578,8809,9313,9404,9789,10088,8504.363636,0.103189762
05_Arkansas,"    Arts, entertainment, recreation, accommodation, and food services",1762,1868,1897,2013,2115,2298,2429,2590,2626,2626,2693,2841,2927,3069,3152,3361,3601,2901.363636,0.035204401
04_Louisiana,    Utilities,3545,3727,3689,3290,3484,3872,3794,4107,3992,4186,3865,4559,4662,3670,3668,4029,3957,4044.454545,0.023290264
04_Louisiana,    Construction,5963,6397,6596,6645,7028,7580,8298,10124,11325,11611,11790,11107,10956,11266,11428,12377,12786,11188,0.064426853
04_Louisiana,    Manufacturing,22073,19863,18667,21636,30733,38735,59074,54631,47454,44432,39352,52713,54664,57671,49012,53497,50238,51158,0.294596794
04_Louisiana,    Wholesale trade,6827,6985,7096,7268,7555,8195,8756,9534,10107,10379,9848,10319,10666,11293,11758,12267,12551,10679.81818,0.061500453
04_Louisiana,    Retail trade,8934,9087,9641,10102,10610,11115,11857,13638,14112,13513,13228,13448,13678,14257,14648,14871,15729,13907.18182,0.080085445
04_Louisiana,    Transportation and warehousing,4416,4616,4954,5044,5240,5608,6215,7269,7855,8867,8140,8759,8811,9408,10515,11092,10945,8897.818182,0.051238686
04_Louisiana,    Information,2716,2754,3060,3443,3531,3942,4257,4165,4682,5091,5032,5884,5287,5032,5609,5377,6185,5145.545455,0.029630971
04_Louisiana,"    Finance, insurance, real estate, rental, and leasing",17283,18549,19392,19867,20268,20484,21543,22343,24156,26724,28624,29249,29204,30062,30363,31433,33057,27887.09091,0.160589694
04_Louisiana,    Professional and business services,9419,9878,10334,10908,11339,11676,12454,13999,15310,17215,16549,17337,17173,18060,18936,19827,21061,17083.72727,0.098377796
04_Louisiana,"    Educational services, health care, and social assistance",8491,8856,9461,10209,10777,11461,11619,11889,12689,13932,15000,15720,15790,16301,16723,17622,18947,15112,0.087023471
04_Louisiana,"    Arts, entertainment, recreation, accommodation, and food services",5715,6114,6138,6531,6642,7066,7368,7425,8093,7950,8058,8395,8281,8626,9140,9835,10886,8550.636364,0.049239416
03_West Virginia,    Utilities,1535,1469,1500,1433,1434,1528,1431,1614,1625,1625,1841,1954,2007,1846,1886,1987,1985,1800.090909,0.040156399
03_West Virginia,    Construction,1724,1856,1971,1823,1904,2224,2520,2812,2873,3075,3105,3244,3165,3719,3569,4008,4009,3281.727273,0.07320872
03_West Virginia,    Manufacturing,6590,5811,5412,5584,5521,5798,6324,6587,6072,6232,6933,6583,7007,7123,7495,7643,7547,6867.818182,0.153207178
03_West Virginia,    Wholesale trade,2135,2154,2182,2226,2286,2493,2652,2855,2890,3058,2962,3097,3160,3266,3265,3401,3352,3087.090909,0.068866775
03_West Virginia,    Retail trade,3598,3709,3800,3927,3984,3963,4292,4439,4426,4340,4427,4625,4732,4926,4985,4882,5050,4647.636364,0.103679398
03_West Virginia,    Transportation and warehousing,1500,1483,1431,1440,1504,1600,1722,1848,1863,2024,1914,2017,2127,2190,2173,2218,2259,2032.272727,0.045335908
03_West Virginia,    Information,1115,1106,1163,1288,1422,1491,1525,1514,1635,1633,1524,1543,1556,1499,1505,1483,1582,1545.363636,0.034473947
03_West Virginia,"    Finance, insurance, real estate, rental, and leasing",5393,5714,6135,6447,6291,6358,6735,7106,7615,7797,8019,8616,8638,9093,8973,9398,9541,8321,0.185624735
03_West Virginia,    Professional and business services,2405,2567,2798,2962,3137,3364,3600,3864,4194,4567,4422,4445,4784,4951,5041,5234,5264,4578.727273,0.102142175
03_West Virginia,"    Educational services, health care, and social assistance",3558,3749,4030,4319,4503,4768,4946,5282,5441,5849,6211,6281,6505,6823,6952,6983,7269,6231.090909,0.139003076
03_West Virginia,"    Arts, entertainment, recreation, accommodation, and food services",1501,1649,1687,1848,1942,2027,2065,2136,2178,2222,2266,2386,2513,2682,2753,2760,2817,2434.363636,0.054305745
02_Mississippi,    Utilities,1769,1780,1880,1828,1887,2154,2132,2407,2367,2405,2544,2771,2756,2903,2820,2960,2976,2640.090909,0.036143448
02_Mississippi,    Construction,2785,2971,3003,3256,3356,3651,4280,5049,5454,5627,4997,4579,4524,4582,4763,4650,4453,4814.363636,0.065909738
02_Mississippi,    Manufacturing,12131,11473,11099,10904,12474,12459,13464,15190,15815,15474,13691,14426,15041,17145,16760,16832,17007,15531.36364,0.212627917
02_Mississippi,    Wholesale trade,3485,3621,3500,3550,3743,4017,4171,4445,4562,4618,4404,4585,4729,4980,5178,5312,5582,4778.727273,0.065421868
02_Mississippi,    Retail trade,5777,5746,5834,6039,6448,6638,7053,7664,7411,7295,7205,7458,7630,7912,8071,8423,8721,7713,0.105592732
02_Mississippi,    Transportation and warehousing,2173,2272,2257,2284,2455,2670,2807,2964,2989,3089,2890,3061,3167,3282,3411,3461,3719,3167.272727,0.043360687
02_Mississippi,    Information,1585,1752,1739,1798,1785,1857,2040,1984,2052,2137,2040,1998,1905,2004,2209,2193,2261,2074.818182,0.028404735
02_Mississippi,"    Finance, insurance, real estate, rental, and leasing",8770,9502,9972,10385,10415,10319,10851,11022,12137,15243,14895,14624,14536,14421,14582,14891,15667,13897.18182,0.190255594
02_Mississippi,    Professional and business services,3587,3777,4068,4342,4591,4836,5108,5603,6029,6549,6269,6558,6675,6933,7167,7349,7618,6532.545455,0.08943204
02_Mississippi,"    Educational services, health care, and social assistance",4139,4368,4717,5050,5352,5786,5964,6395,6764,7247,7638,7821,8012,8302,8290,8413,8640,7589.636364,0.103903856
02_Mississippi,"    Arts, entertainment, recreation, accommodation, and food services",3383,3546,3508,3664,3716,4083,4183,3931,4260,4274,4080,4250,4271,4405,4456,4509,4745,4305.818182,0.058947635
01_Kentucky,    Utilities,2165,2181,2082,1944,1963,2233,2281,2604,2606,2599,2835,3126,3184,2688,2763,2883,2822,2762.818182,0.021141698
01_Kentucky,    Construction,4970,5258,5485,5351,5775,6290,6746,6731,7000,6883,6525,6028,6145,6671,6907,7629,8279,6867.636364,0.052552677
01_Kentucky,    Manufacturing,30186,24589,24164,25148,25941,26837,27650,30552,29036,27665,24715,28534,29220,33587,35130,35730,36307,30738.72727,0.23521956
01_Kentucky,    Wholesale trade,6646,7158,7287,7290,7647,8390,9118,9849,10490,10716,9998,10489,10689,11173,11630,12291,12703,10831.45455,0.082884693
01_Kentucky,    Retail trade,7771,8134,8106,8470,8891,9009,9548,9757,9729,9646,9605,10006,10211,10587,10619,10757,11421,10171.45455,0.077834226
01_Kentucky,    Transportation and warehousing,5121,5487,5529,5552,5917,6279,6995,7180,7195,7362,7027,7457,7712,7940,8035,8411,9064,7670.727273,0.058698107
01_Kentucky,    Information,2781,2792,3125,3588,3671,3986,4173,4185,4361,5008,5521,5381,5019,4362,4279,4430,4306,4638.636364,0.035495874
01_Kentucky,"    Finance, insurance, real estate, rental, and leasing",14970,16004,17630,18444,18588,19122,20073,20437,21639,21722,22360,23540,25212,26221,26636,28296,29639,24161.36364,0.184888114
01_Kentucky,    Professional and business services,7029,7653,8134,8594,9038,9716,10416,11011,11845,12503,12241,12932,13568,14051,14417,15097,15824,13082.27273,0.100108453
01_Kentucky,"    Educational services, health care, and social assistance",8080,8341,9076,9776,10403,11092,11692,12050,12465,13184,13885,14306,14948,15565,15593,15727,16571,14180.54545,0.108512679
01_Kentucky,"    Arts, entertainment, recreation, accommodation, and food services",3484,3703,3754,4002,4313,4795,4968,5153,5336,5403,5076,5274,5372,5529,5974,6457,6792,5575.818182,0.042667398
